X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y
225,0,225,0,0,0,865,898,179,4.5,0.315,33.94
231,0,231,0,0,0,862,864,175,4.62,0.37,38.9
258,0,258,0,0,0,835,836,176,5.16,0.413,41.21
330,0,220,0,0,0,826,827,176,5.5,0.44,45.95
360,0,240,0,0,0,797,796,180,6,0.48,53
360,0,240,0,0,0,812,813,168,6,0.48,56
400,0,250,0,0,0,785,785,172,9.75,0.46,61.64
450,0,250,0,0,0,760,760,174,11.2,0.49,66.29
390,0,58,0,0,0,881,874,156,9.75,0,25.5
384,0,0,0,38,0,863,836,211.2,9.216,0,29
310,189,0,0,0,0,667,1018,170,6,0,51.2
315,164,0,0,0,0,673,1025,173,5.51,0,50.7
320,153,0,0,0,0,687,1016,174,5.21,0,53.6
330.36,0,178.6,0,0,0,739.44,875.16,179.74,5.97,0.92,48.4
330.85,0,180.56,0,0,0,739.44,857.57,180.05,6.02,0.97,57.3
331.33,0,182.47,0,0,0,739.44,840,180.38,6.08,1.03,63.8
330.36,0,180.56,0,0,0,754.18,875.16,180.05,6.08,1.03,61.3
330.85,0,182.47,0,0,0,754.18,857.57,180.38,5.97,0.92,50.45
331.33,0,178.6,0,0,0,754.18,840,179.74,6.02,0.97,53.1
330.85,0,178.6,0,0,0,768.88,875.16,180.38,6.02,1.03,61.1
331.33,0,180.56,0,0,0,768.88,857.57,179.74,6.08,0.92,55.9
330.36,0,182.47,0,0,0,768.88,840,180.05,5.97,0.97,55.3
331.33,0,182.47,0,0,0,739.44,875.16,180.05,6.02,0.92,57.3
330.36,0,187.6,0,0,0,739.44,857.57,180.38,6.08,0.97,65.6
330.85,0,180.56,0,0,0,739.44,840,179.74,5.97,1.03,53.6
330.85,0,182.47,0,0,0,754.18,875.16,179.74,6.08,0.97,52.9
331.33,0,178.6,0,0,0,754.18,857.57,180.05,5.97,1.03,47.3
330.36,0,180.56,0,0,0,754.18,840,180.38,6.02,0.92,59.26
331.33,0,180.56,0,0,0,768.88,875.16,180.38,5.97,0.97,51.53
330.36,0,182.47,0,0,0,768.88,857.57,179.74,6.02,1.03,56.6
330.85,0,178.6,0,0,0,768.88,840,180.05,6.08,0.92,58.45
540,0,60,0,0,0,750,900,200,12,0,78.05
420,0,180,0,0,0,750,900,192,12,0,79.19
