X1,X2,X3,X4,X5,X6,Y
148,137,0.55,830,1002,0.11,17.95
393,0,0.49,758,940,0,39.58
325,60,0.65,900,850,0.12,31.4
374.3,0,0.51,730.4,1013.2,0.02,39.06
348,224,0.5,783,848,0.43,58.6
296,107,0.55,778,819,0.04,31.42
350,162,0.41,768,840,0.18,51.7
296,106.7,0.55,778.4,819.2,0.04,31.42
374,0,0.51,730,1013,0.02,39.05
148.1,136.6,0.56,830.1,1001.8,0.11,17.96
275,0,0.67,808,1088,0,24.5
231.75,121.62,0.49,778.45,1056.4,0.03,33.73
181.38,167.01,0.49,777.8,1055.6,0.04,27.77
194.68,100.52,0.56,905.9,1006.4,0.04,25.72
325,60,0.65,899,850,0.43,30.8
420,80,0.33,785,860,0.3,56
212.52,100.37,0.51,903.59,1007.8,0.04,31.64
290,100,0.33,913,837,0.01,42.7
333,0,0.58,842.6,931.2,0,31.97
250,160,0.55,742,837,0.5,28.5
339,0,0.58,781,968,0,32.04
207,207,0.45,845,843,0.4,33.2
252,0,0.73,784,1111,0,19.69
360,240,0.28,853,698,0.3,63.5
417,153,0.32,828,759,0.31,61.82
163,245,0.4,851,851,0.2,26.2
310,0,0.62,850,970,0,27.92
350,133,0.38,815,883,0.34,55.3
190.34,125.18,0.51,802.59,1088.1,0.05,28.47
427,115,0.36,779,844,0.26,59.4
475,0,0.48,594,932,0,39.29
164.6,150.4,0.58,728.9,1023.3,0.07,18.03
165,150,0.58,729,1023,0.07,18.03
318,126,0.47,737,861,0.02,40.06
317.9,126.5,0.47,736.6,860.5,0.02,40.06
280,96,0.87,817,850,0.62,15.9
540,0,0.32,613,1125,0,67.31
183,160,0.55,891,837,0.5,22.1
238.05,94.11,0.56,847.01,949.91,0.03,30.23
307,0,0.63,812,968,0,27.53
480,96,0.38,819,699,0.94,53
144.8,133.6,0.65,811.5,979.5,0.08,13.2
145,134,0.65,812,979,0.08,13.2
151.6,111.9,0.7,815.9,992,0.05,12.18
325,60,0.85,722,850,0.43,13.3
370,24,0.69,772,850,0.25,26.4
152,112,0.7,816,992,0.05,12.18
331,0,0.58,825,978,0,31.45
252.5,0,0.74,784.3,1111.6,0,19.77
505,60,0.35,630,1030,0,64.02
134.7,165.7,0.6,804.9,961,0.07,13.29
325,60,0.65,899,850,0.43,32.6
135,166,0.6,805,961,0.07,13.29
475,0,0.34,662,1044,0.02,58.52
251.37,118.27,0.52,754.3,1043.6,0.02,33.27
166.09,163.27,0.54,780.09,1058.6,0.03,21.54
393,0,0.49,785.6,940.6,0,39.6
250,0,0.73,820,1100,0,20.87
210,100,0.65,910,837,0.8,19.1
190.68,125.4,0.51,804.01,1090,0.04,26.4
249,60,0.68,1079,850,0.43,24
405,0,0.43,695,1120,0,52.3
528,0,0.35,720,920,0.01,56.83
250,160,0.55,739,837,0,27.3
273,90,0.55,762,931,0.04,32.24
297.16,117.54,0.42,753.45,1022.8,0.03,47.4
169,254,0.45,853,853,0,30.2
272.6,89.6,0.55,762.2,931.3,0.04,32.25
190.34,125.18,0.53,798.9,1079,0.05,24.85
310,0,0.62,830,1012,0,27.83
298,107,0.52,744,880,0.04,31.87
298.2,107,0.52,744.2,879.6,0.04,31.88
251.37,118.27,0.51,757.73,1028.4,0.03,32.66
247,165,0.45,845,846,0.12,34.6
400,0,0.47,745,1025,0,43.7
170,200,0.43,930,900,0.2,31
289,0,0.66,895.3,913.2,0,25.57
317,160,0.55,594,837,0.5,29.1
326,138,0.43,792,801,0.03,40.68
295,0,0.63,769,1069,0,25.18
520,0,0.33,855,855,0.01,60.28
225,275,0.35,908,652,0.7,41.42
222.36,96.67,0.59,870.32,967.08,0.02,24.89
165,143.57,0.53,900.9,1005.6,0,26.2
238,0,0.78,789,1119,0,17.54
238,0,0.78,789,1118,0,17.54
238.1,0,0.78,789.3,1118.8,0,17.58
238,159,0.4,844,844,0.29,37.8
522,0,0.28,896,896,0,74.99
148,182,0.55,884,839,0.1,15.52
290,100,0.65,709,837,0.2,26.6
148.1,182.1,0.55,884.3,838.9,0.1,15.53
154.8,142.8,0.65,696.7,1047.4,0.06,12.46
302,0,0.67,817,974,0,21.75
155,143,0.65,697,1047,0.06,12.46
280,120,0.39,946,900,0.35,45
255,0,0.75,945,889.8,0,18.75
250,160,0.55,746,837,1,26.7
400,60,0.63,718,850,0.43,30.4
322,0,0.63,800,974,0,25.18
250,160,0.55,742,837,0.5,26.4
220,180,0.45,850,900,0.35,38
350,90,0.48,852,923,0.14,46.5
290,100,0.45,913,837,0.8,42.7
213.74,174.74,0.4,776.35,1053.5,0.05,40.15
331,0,0.58,821,1025,0,31.74
427,115,0.45,779,844,0.12,59.4
295.8,0,0.63,769.3,1091.4,0,25.22
281,0,0.66,774,1104,0,22.44
281,0,0.66,774,1104,0,22.44
296,0,0.63,769,1090,0,25.18
325,60,0.65,898,850,0.43,34.3
250,160,0.55,742,837,0.5,26
275,275,0.37,796,937,0.74,63.32
300,0,0.61,795,1075,0,26.85
298.1,107,0.46,815.2,879,0.02,42.64
298,107,0.46,815,879,0.02,42.64
290,100,0.48,709,837,0,26.6
325,60,0.65,896,850,0.75,27.7
220,180,0.39,916,900,0.6,43
370,96,0.57,833,850,0.25,39.5
225,0,0.8,833,1113,0,17.34
200,200,0.4,842,843,0.17,34.9
143.6,174.9,0.5,844.5,942.7,0.12,15.42
250,95.69,0.54,861.17,956.86,0.02,29.22
144,175,0.5,844,943,0.13,15.42
322,138,0.35,693.81,1085.2,0,58
322.5,107.5,0.47,1135,630,0.01,43.98
325,60,0.65,898,850,0.43,35
250,160,0.55,742,837,0.5,25.3
212.07,121.62,0.54,779.32,1057.6,0.03,24.9
301,129,0.47,1135,630,0.01,44
325,0,0.57,783,1063,0,30.57
218.85,124.13,0.46,794.91,1078.7,0.05,30.22
325,60,0.65,899,850,0.43,35.3
370,96,0.57,830,850,0.62,38.8
170,200,0.43,928,900,0.5,33
330,220,0.32,700,899,0.69,60.9
375,0,0.5,758,1038,0,38.21
275,250,0.35,775,840,0.2,54.5
399,100,0.35,814,882,0.15,55
339,0,0.55,754,1060,0,31.65
233.81,94.58,0.6,852.16,947.04,0.02,22.84
326.5,137.9,0.43,792.5,801.1,0.03,38.63
210,220,0.45,768,837,0.8,26.7
277,0,0.69,856,968,0,25.97
350,0,0.53,770,1050,0,34.29
339.2,0,0.55,754.3,1069.2,0,31.9
339,0,0.55,754,1069,0,31.84
220,180,0.39,916,900,0.1,44
280,96,0.87,820,850,0.25,19.6
350,150,0.35,900,600,1,37.18
229.68,118.16,0.56,757.63,1028.1,0.03,24.54
237,133,0.36,1034,900,0.2,49
258,172,0.47,1135,630,0.01,43.18
150.9,183.9,0.5,772.2,991.2,0.08,15.57
295.71,95.64,0.44,859.2,955.14,0.03,39.94
151,184,0.5,772,991,0.08,15.57
300,300,0.28,787,720,0.33,52.7
220,330,0.32,686,881,0.62,47.5
250,95.69,0.55,857.2,948.9,0.02,27.22
275,155,0.43,827,900,0.5,48
277.05,97.39,0.43,875.61,973.9,0.04,48.28
229.97,118.31,0.56,758.59,1029.4,0.02,24.48
165,385,0.34,656,834,1,34.9
145,179,0.62,869,824,0.06,10.54
327,173,0.35,902,803,0.41,61.6
279.5,150.5,0.47,1135,630,0.01,44.34
145.4,178.9,0.62,868.7,824,0.05,10.54
83,468,0.41,624,794,1,14.64
325,325,0.34,611,777,1.18,50.07
376,0,0.57,762.36,1003.5,0,31.97
251.37,118.27,0.51,757.73,1028.4,0.02,29.65
250,160,0.55,742,837,0.5,24.1
250,160,0.38,919,837,0.5,36.3
290,220,0.45,625,837,0.2,32.9
296,0,0.65,765,1085,0,21.65
428,257,0.27,788,736,0.02,74.5
250,257,0.38,787,853,0.23,51.5
350,0,0.58,775,974,0,27.34
200,0,0.9,845,1125,0,12.25
183,160,0.29,891,837,0.01,22.1
220,180,0.39,916,900,0.35,45
212,124.78,0.47,799.54,1085.4,0.04,38.5
250,160,0.34,742,837,0.01,28.5
500,0,0.28,853,966,0.01,67.57
325,120,0.75,755,850,0.43,32.2
154.8,142.8,0.65,867.7,877.2,0.06,9.74
155,143,0.65,868,877,0.06,9.74
500,101,0.32,820,753,0.38,70.93
382,0,0.49,739,1047,0,37.42
150.7,185.3,0.5,678,1074.5,0.1,13.46
382.5,0,0.49,739.3,1047.8,0,37.44
151,185,0.5,678,1074,0.11,13.46
225,525,0.33,487,620,1.36,34.83
275.07,121.35,0.4,777.5,1053.6,0.04,51.33
349,0,0.55,809,1056,0,33.61
313,113,0.42,689,1002,0.03,36.8
313.3,113,0.42,688.7,1001.9,0.03,36.8
348,224,0.31,783,848,0.9,58.6
420,180,0.32,900,750,0.03,79.19
276,184,0.35,693.81,1085.2,0,56
385,136,0.3,768,903,0.05,55.55
382,0,0.48,739,1047,0,37.42
440,110,0.32,714,917,0.69,69.8
349,162,0.39,779,852,0.29,59.9
349,0,0.55,806,1047,0,32.72
477,53,0.45,768,668,0.09,32.19
212.57,100.39,0.51,903.79,1003.8,0.05,37.4
325,0,0.55,1042,850,0.43,41.2
397,0,0.47,734,1040,0,39.09
250,160,0.72,566,837,0.5,11
370,24,0.69,770,850,0.62,18.7
236,0,0.82,885,968,0,18.42
250,160,0.34,739,837,0,27.3
197,197,0.35,856,856,0.28,38.9
237,133,0.43,960,900,0.5,46
350,133,0.52,815,883,0.16,55.3
165,385,0.58,735,865,0.84,37.92
312.7,0,0.57,822.2,999.7,0.03,25.1
317,160,0.37,594,837,0.01,29.1
313,0,0.57,822,1000,0.03,25.1
350,90,0.39,852,923,0.3,46.5
313.8,112.6,0.4,782.9,925.3,0.03,38.46
380,20,0.38,1180,578,0.4,40.4
407,244,0.28,815,761,0.02,70.4
314,113,0.4,783,925,0.03,38.46
248,203,0.39,808,900,0.35,50
304.8,99.6,0.48,705.2,959.4,0.03,30.12
305,100,0.48,705,959,0.03,30.12
480,0,0.4,712.2,936.2,0,43.94
220,180,0.33,982,900,0.35,51
164,200,0.5,846,849,0.08,15.09
210,100,0.44,910,837,0.01,19.1
344,147,0.35,814,881,0.12,48.75
164.2,200.1,0.5,846,849.3,0.08,15.09
357,193,0.33,878,742,0.02,67.5
275,155,0.43,830,900,0.2,36
333,215,0.33,835,766,0.24,50.24
220,180,0.39,916,900,0.35,47
250,160,0.34,746,837,0.01,26.7
321,128,0.41,780,870,0.03,37.26
321.4,127.9,0.41,779.7,870.1,0.04,37.27
250,160,0.23,919,837,0.01,36.3
250,160,0.34,742,837,0.01,26.4
355.9,141.6,0.39,778.4,801.4,0.03,40.87
356,142,0.39,778,801,0.03,40.87
460,0,0.35,693.81,1085.2,0,68
298,107,0.4,784,953,0.04,35.86
350,111,0.39,831,900,0.32,61
485,0,0.3,800,1120,0,71.99
298.1,107.5,0.4,784,953.2,0.04,35.87
480,0,0.4,721,936,0,43.89
198,232,0.34,874,900,0.2,46
158,195,0.62,713,898,0.07,8.54
350,162,0.59,768,840,0.09,51.7
158.4,194.9,0.62,712.9,897.7,0.07,8.54
251.81,99.94,0.42,899.76,1006,0.05,33.94
249.1,98.75,0.45,889.01,987.76,0.05,30.85
210,220,0.22,786,837,0.01,26.7
275,275,0.34,691,880,1.25,57.9
250,160,0.34,742,837,0.01,26
250,261,0.55,478,837,0.5,17
161,241,0.35,866,864,0.3,35.8
300,200,0.35,923,663,0.7,54.69
540,0,0.3,676,1055,0,61.89
290,220,0.26,625,837,0,32.9
525,0,0.36,613,1125,0,55.94
213.5,174.24,0.41,771.9,1043.6,0.05,44.64
465,85,0.41,910,590,0.02,35.19
250,275,0.34,842,772,0.23,39.62
210,220,0.65,562,837,0.2,10.2
397,0,0.47,734,1040,0,36.94
368,92,0.35,693.81,1085.2,0,66
465,85,0.41,910,590,0.97,35.19
250,160,0.34,742,837,0.01,25.3
520,0,0.34,805,870,0.01,51.02
213.5,174.24,0.4,775.48,1052.3,0.05,45.94
193,158,0.39,1024,900,0.35,44
437,80,0.34,743,924,0.43,69.7
500,0,0.3,655,1033,0.02,69.84
336.5,0,0.54,816.8,985.8,0.01,44.87
336,0,0.54,817,986,0.01,44.86
220,180,0.39,916,900,0.35,49
246.83,125.08,0.39,800.89,1086.8,0.05,52.5
220,180,0.39,916,900,0.12,49
385,0,0.48,763,966,0,31.35
540,60,0.33,900,750,0.02,78.05
322.2,115.6,0.45,813.4,817.9,0.03,31.18
322,116,0.45,813,818,0.03,31.18
250,160,0.34,742,837,0.01,24.1
290.35,96.18,0.43,865,961.18,0.03,34.74
252.31,98.75,0.42,889.01,987.76,0.06,50.6
380,145,0.35,988,659,0.28,65.5
344,86,0.47,1135,630,0.01,50.37
438,263,0.27,774,723,0.02,69.5
380,192,0.35,931,621,0.21,67.8
412,138,0.33,887,752,0.02,73.4
