X1,X2,X3,X4,X5,X6,X7,Y
0.37,520,0,890,900,7.8,1,29.2
0.37,520,0,890,900,7.8,1,29.6
0.37,520,0,890,900,7.8,1,30
0.37,520,0,890,900,7.8,1,28.6
0.37,520,0,890,900,7.8,1,29.5
0.37,520,25,890,900,7.8,1,35.6
0.37,520,25,890,900,7.8,1,34.8
0.37,520,25,890,900,7.8,1,34.6
0.37,520,25,890,900,7.8,1,34.6
0.37,520,25,890,900,7.8,1,34
0.37,520,47,890,900,7.8,1,32.6
0.37,520,47,890,900,7.8,1,32
0.37,520,47,890,900,7.8,1,32.4
0.37,520,47,890,900,7.8,1,32.8
0.37,520,47,890,900,7.8,1,32
0.37,520,68,890,900,7.8,1,32
0.37,520,68,890,900,7.8,1,31.2
0.37,520,68,890,900,7.8,1,31
0.37,520,68,890,900,7.8,1,30.8
0.37,520,68,890,900,7.8,1,31.3
0.37,520,87,890,900,7.8,1,31.2
0.37,520,87,890,900,7.8,1,30
0.37,520,87,890,900,7.8,1,30.4
0.37,520,87,890,900,7.8,1,32
0.37,520,87,890,900,7.8,1,29.4
0.37,520,104,890,900,7.8,1,30.4
0.37,520,104,890,900,7.8,1,30.6
0.37,520,104,890,900,7.8,1,29.9
0.37,520,104,890,900,7.8,1,30.8
0.37,520,104,890,900,7.8,1,30.4
0.37,520,120,890,900,7.8,1,30.4
0.37,520,120,890,900,7.8,1,30.6
0.37,520,120,890,900,7.8,1,29.9
0.37,520,120,890,900,7.8,1,30.8
0.37,520,120,890,900,7.8,1,30.4
0.37,520,0,890,900,7.8,7,33.6
0.37,520,0,890,900,7.8,7,34
0.37,520,0,890,900,7.8,7,33.2
0.37,520,0,890,900,7.8,7,32.8
0.37,520,0,890,900,7.8,7,33
0.37,520,25,890,900,7.8,7,44
0.37,520,25,890,900,7.8,7,44.2
0.37,520,25,890,900,7.8,7,46.2
0.37,520,25,890,900,7.8,7,44.8
0.37,520,25,890,900,7.8,7,44
0.37,520,47,890,900,7.8,7,45
0.37,520,47,890,900,7.8,7,45.8
0.37,520,47,890,900,7.8,7,45
0.37,520,47,890,900,7.8,7,45.4
0.37,520,47,890,900,7.8,7,45
0.37,520,68,890,900,7.8,7,46.8
0.37,520,68,890,900,7.8,7,46.4
0.37,520,68,890,900,7.8,7,48.2
0.37,520,68,890,900,7.8,7,48.2
0.37,520,68,890,900,7.8,7,49.2
0.37,520,87,890,900,7.8,7,49.8
0.37,520,87,890,900,7.8,7,49.6
0.37,520,87,890,900,7.8,7,49
0.37,520,87,890,900,7.8,7,49
0.37,520,87,890,900,7.8,7,48.6
0.37,520,104,890,900,7.8,7,50.2
0.37,520,104,890,900,7.8,7,48.6
0.37,520,104,890,900,7.8,7,48.8
0.37,520,104,890,900,7.8,7,49.8
0.37,520,104,890,900,7.8,7,49
0.37,520,120,890,900,7.8,7,50.2
0.37,520,120,890,900,7.8,7,48.6
0.37,520,120,890,900,7.8,7,48.8
0.37,520,120,890,900,7.8,7,49.8
0.37,520,120,890,900,7.8,7,49
0.37,520,0,890,900,7.8,28,52
0.37,520,0,890,900,7.8,28,51
0.37,520,0,890,900,7.8,28,51
0.37,520,0,890,900,7.8,28,50.2
0.37,520,0,890,900,7.8,28,50
0.37,520,25,890,900,7.8,28,62
0.37,520,25,890,900,7.8,28,60.4
0.37,520,25,890,900,7.8,28,60
0.37,520,25,890,900,7.8,28,62.1
0.37,520,25,890,900,7.8,28,61.4
0.37,520,47,890,900,7.8,28,62.8
0.37,520,47,890,900,7.8,28,62
0.37,520,47,890,900,7.8,28,61.6
0.37,520,47,890,900,7.8,28,61.8
0.37,520,47,890,900,7.8,28,62.1
0.37,520,68,890,900,7.8,28,65.8
0.37,520,68,890,900,7.8,28,66.2
0.37,520,68,890,900,7.8,28,66.8
0.37,520,68,890,900,7.8,28,66.4
0.37,520,68,890,900,7.8,28,66.2
0.37,520,87,890,900,7.8,28,70
0.37,520,87,890,900,7.8,28,70.4
0.37,520,87,890,900,7.8,28,70.2
0.37,520,87,890,900,7.8,28,69.8
0.37,520,87,890,900,7.8,28,70.1
0.37,520,104,890,900,7.8,28,80.2
0.37,520,104,890,900,7.8,28,79.8
0.37,520,104,890,900,7.8,28,79
0.37,520,104,890,900,7.8,28,78.4
0.37,520,104,890,900,7.8,28,78.6
0.37,520,120,890,900,7.8,28,80.2
0.37,520,120,890,900,7.8,28,79.8
0.37,520,120,890,900,7.8,28,79
0.37,520,120,890,900,7.8,28,78.4
0.37,520,120,890,900,7.8,28,78.6
0.3,600,0,1084,595,7.14,3,76
0.3,600,30,1072,595,7.98,3,73.7
0.3,600,60,1059,595,8.58,3,78.3
0.35,514,0,1131,621,8.24,3,63.4
0.35,515,26,1120,621,7.71,3,65.5
0.35,515,26,1120,621,8.24,3,63.4
0.35,514,51,1110,621,9,3,70.8
0.4,450,0,1166,640,8.1,3,56.8
0.4,451,23,1157,640,8.57,3,55.6
0.4,450,45,1147,640,9.45,3,59.8
0.3,600,0,1084,595,7.14,7,79.3
0.3,600,30,1072,595,7.98,7,81.6
0.3,600,60,1059,595,8.58,7,84.5
